Date,Open,High,Low,Close,Adj Close,Volume
2023-06-29,0.062594,0.064028,0.062551,0.063407,0.063407,192396033
2023-06-30,0.063402,0.066712,0.062643,0.066479,0.066479,489091093
2023-07-01,0.066481,0.070789,0.066468,0.068478,0.068478,635045706
2023-07-02,0.068479,0.068908,0.066720,0.068038,0.068038,374040291
2023-07-03,0.068042,0.068695,0.067459,0.068353,0.068353,265466622
2023-07-04,0.068347,0.071424,0.067920,0.068941,0.068941,493149432
2023-07-05,0.068947,0.069132,0.065940,0.067033,0.067033,313972996
2023-07-06,0.067025,0.068476,0.065005,0.065026,0.065026,281014235
2023-07-07,0.065030,0.065797,0.064553,0.065425,0.065425,202607383
2023-07-08,0.065421,0.065957,0.064971,0.065761,0.065761,148945060
2023-07-09,0.065762,0.066294,0.065332,0.065435,0.065435,146485995
2023-07-10,0.065437,0.066032,0.064009,0.065243,0.065243,258321415
2023-07-11,0.065247,0.065455,0.064519,0.065287,0.065287,151465120
2023-07-12,0.065288,0.065570,0.064000,0.065071,0.065071,164499091
2023-07-13,0.065073,0.071267,0.064675,0.070507,0.070507,625261655
2023-07-14,0.070499,0.072731,0.067198,0.068529,0.068529,632033705
2023-07-15,0.068524,0.074708,0.067975,0.071927,0.071927,883881437
2023-07-16,0.071929,0.072135,0.069399,0.069554,0.069554,389882289
2023-07-17,0.069558,0.072752,0.068255,0.069905,0.069905,464403123
2023-07-18,0.069901,0.070257,0.067743,0.068583,0.068583,284882933
2023-07-19,0.068589,0.071212,0.068487,0.070159,0.070159,418313611
2023-07-20,0.070148,0.071022,0.068487,0.070516,0.070516,574227832
2023-07-21,0.070526,0.076391,0.070407,0.073295,0.073295,762216251
2023-07-22,0.073295,0.073295,0.070081,0.070433,0.070433,353000261
2023-07-23,0.070435,0.072804,0.070220,0.071819,0.071819,287153173
2023-07-24,0.071812,0.077222,0.070556,0.074268,0.074268,1446707666
2023-07-25,0.074266,0.083341,0.073890,0.081845,0.081845,1525713202
2023-07-26,0.081851,0.082080,0.077259,0.077958,0.077958,846709085
2023-07-27,0.077964,0.079733,0.076916,0.077562,0.077562,515430911
2023-07-28,0.077562,0.077782,0.076201,0.077321,0.077321,370256171
2023-07-29,0.077315,0.081316,0.077077,0.080188,0.080188,466582431
2023-07-30,0.080190,0.080439,0.077039,0.078061,0.078061,436209339
2023-07-31,0.078063,0.079656,0.077100,0.077818,0.077818,346973531
2023-08-01,0.077824,0.078168,0.076043,0.078042,0.078042,369078156
2023-08-02,0.078038,0.078195,0.074100,0.074213,0.074213,364508311
2023-08-03,null,null,null,null,null,null
2023-08-04,0.073646,0.074352,0.073570,0.074352,0.074352,370063328
